Portál,Číslo,Název pozice,Link,Firma,Lokace,Typ úvazku,Datum inzerátu,Tag,Plat
startupjobs.cz,42,Backend vývojář/ka - buduj s námi nejlepší AI aplikaci na trhu,https://www.startupjobs.cz/nabidka/81621/backend-vyvojar-ka-buduj-s-nami-nejlepsi-ai-aplikaci-na-trhu,FV STUDIO,Brno,Full-time,,,70000 - 100000 CZK monthly
startupjobs.cz,43,Digital data marketing specialist,https://www.startupjobs.cz/nabidka/81571/digital-data-marketing-specialist,denik.cz,Praha,Full-time,,,
startupjobs.cz,44,Datový analytik,https://www.startupjobs.cz/nabidka/81559/datovy-analytik,Slevomat.cz,Praha,Full-time,,,
startupjobs.cz,45,Data Engineer,https://www.startupjobs.cz/nabidka/81517/data-engineer,Publicis Groupe,Praha,Full-time,,,
startupjobs.cz,46,Data Analyst,https://www.startupjobs.cz/nabidka/81515/data-analyst,Publicis Groupe,Praha,Full-time,,,
startupjobs.cz,47,AI Specialist,https://www.startupjobs.cz/nabidka/81441/ai-specialist,Twistcafe Group s.r.o.,Praha,Full-time,,,
startupjobs.cz,48,"🔬 DataOps specialist (Brno, Python)",https://www.startupjobs.cz/nabidka/79027/dataops-specialist-brno-python,Datamole,Brno,Full-time,,,
startupjobs.cz,49,Analytics Engineer for Data Platform team at ShipMonk,https://www.startupjobs.cz/nabidka/77791/analytics-engineer-for-data-platform-team-at-shipmonk,ShipMonk,Praha,Full-time,,,
startupjobs.cz,50,"🔬 Data Analyst Medior (Python, Brno)",https://www.startupjobs.cz/nabidka/81321/data-analyst-medior-python-brno,Datamole,Brno,"Part-time, Full-time",,,
startupjobs.cz,51,Data Scientist Senior 🚀,https://www.startupjobs.cz/nabidka/80165/data-scientist-senior,Ematiq a.s.,Praha,Full-time,,,74000 - 124000 CZK monthly
startupjobs.cz,52,Konzultant pro automatizaci reportingu 🌎,https://www.startupjobs.cz/nabidka/79107/konzultant-pro-automatizaci-reportingu,Deepview,Praha,Full-time,,,
cocuma.cz,1,(Senior) Data Analyst,https://www.cocuma.cz/job/senior-data-analyst/8532/,GLAMI,Praha,Full-time,,Fresh,
cocuma.cz,2,BI / Data Analyst,https://www.cocuma.cz/job/bi-data-analyst/8524/,Bonami,Praha,Full-time,,Fresh,
cocuma.cz,3,E-commerce Data Analyst,https://www.cocuma.cz/job/e-commerce-data-analyst/8268/,Decathlon,Praha,Full-time,,,
cocuma.cz,4,Datový integrátor,https://www.cocuma.cz/s/datovy-integrator/,LOGIO,Brno,Full-time,,Superjoby,
cocuma.cz,5,Senior Data Platform Engineer,https://www.cocuma.cz/job/senior-data-platform-engineer/8464/,NN IT HUB Prague,Prague,Full-time,,,
cocuma.cz,6,Data Entry Specialist,https://www.cocuma.cz/job/data-entry-specialist/7713/,Realpad,Praha,Part-time,,,
cocuma.cz,7,Administrátor/ka sběru dat | Marketingový výzkum,https://www.cocuma.cz/job/administratorka-sberu-dat-marketingovy-vyzkum/6271/,NMS Market Research,Praha,Full-time,,,
cocuma.cz,8,Data Engineer,https://www.cocuma.cz/job/data-engineer/8407/,Confirmo,Praha,Full-time,,,
cocuma.cz,9,Power BI Developer,https://www.cocuma.cz/job/power-bi-developer/8411/,NN IT HUB Prague,Prague,Full-time,,,
cocuma.cz,10,Data Platform Engineer,https://www.cocuma.cz/job/data-platform-engineer/8374/,NN IT HUB Prague,Prague,Full-time,,,
cocuma.cz,11,Datový analytik,https://www.cocuma.cz/job/datovy-analytik/8342/,Slevomat,Praha,Full-time,,,
cocuma.cz,12,DATA ENGINEER,https://www.cocuma.cz/s/data-engineer/,Billigence,Praha,Full-time,,Superjoby,
cocuma.cz,13,💻 Datový analytik - junior - vhodné pro studenty/absolventy 🎓,https://www.cocuma.cz/job/datovy-analytik-junior-vhodne-pro-studentyabsolventy/8290/,OPT OnDemand,Praha 7,Full-time,,,
cocuma.cz,14,Marketing Manager pro AI SaaS produkt,https://www.cocuma.cz/job/marketing-manager-pro-ai-saas-produkt/2572/,FEEDYOU,Pardubice,Full-time,,,
cocuma.cz,15,Account Executive pro AI SaaS produkt,https://www.cocuma.cz/job/account-executive-pro-ai-saas-produkt/8233/,FEEDYOU,Pardubice,Full-time,,,
cocuma.cz,16,Data Analyst / Analytics Engineer,https://www.cocuma.cz/job/data-analyst-analytics-engineer/5044/,GAMEE,,Full-time,,,
cocuma.cz,17,Mentor*ka - Datová analýza,https://www.cocuma.cz/s/mentorka-datova-analyza/,Czechitas,Celá ČR,Part-time,,Superjoby,
cocuma.cz,18,Analytics Engineer for Data Platform team,https://www.cocuma.cz/job/analytics-engineer-for-data-platform-team/8125/,ShipMonk Research & Development,Praha,Full-time,,,
cocuma.cz,19,BI Squad Technical Lead,https://www.cocuma.cz/job/bi-squad-technical-lead/8113/,NN IT HUB Prague,Prague,Full-time,,,
cocuma.cz,20,Data Engineers wanted Junior and Medior,https://www.cocuma.cz/job/data-engineers-wanted-junior-and-medior/8074/,NN IT HUB Prague,Prague,Full-time,,,
cocuma.cz,21,Datový analytik | Marketingový výzkum,https://www.cocuma.cz/job/datovy-analytik-marketingovy-vyzkum/6286/,NMS Market Research,Praha,Full-time,,,
cocuma.cz,22,Data Scientist 🔬 Market Research,https://www.cocuma.cz/job/data-scientist-market-research/7938/,NMS Market Research,Praha,Full-time,,,
cocuma.cz,23,Experienced Machine Learning Engineer,https://www.cocuma.cz/job/experienced-machine-learning-engineer/7569/,Salted CX,Praha,Full-time,,,
cocuma.cz,24,Data Engineering Lead (tahoun DATA týmu),https://www.cocuma.cz/job/data-engineering-lead-tahoun-data-tymu/3759/,Etnetera Activate,Praha,Full-time,,,
cocuma.cz,25,BI Analytik / Konzultant,https://www.cocuma.cz/job/bi-analytik-konzultant/7016/,CDC Data,Dvůr Králové nad Labem,Full-time,,,
cocuma.cz,26,Data Engineer with Azure for AI Squad,https://www.cocuma.cz/job/data-engineer-with-azure-for-ai-squad/7625/,NN IT HUB Prague,Prague,Full-time,,,
cocuma.cz,27,Pomáhej tvořit kurzy datového inženýrství a datové vědy,https://www.cocuma.cz/s/pomahej-tvorit-kurzy-datoveho-inzenyrstvi-a-datove-vedy/,Czechitas,Celá ČR,Part-time,,Superjoby,
cocuma.cz,28,Pomáhej vzdělávat ženy v AI,https://www.cocuma.cz/s/pomahej-vzdelavat-zeny-v-ai/,Czechitas,Celá ČR,Part-time,,Superjoby,
cocuma.cz,29,Pomáhej vzdělávat ženy v Pythonu pro data,https://www.cocuma.cz/s/pomahej-vzdelavat-zeny-v-pythonu-pro-data/,Czechitas,Celá ČR,Part-time,,Superjoby,
cocuma.cz,30,Pomáhej vzdělávat ženy v oblasti dat,https://www.cocuma.cz/s/pomahej-vzdelavat-zeny-v-oblasti-dat/,Czechitas,Celá ČR,Part-time,,Superjoby,
cocuma.cz,31,Data Governance Consultant,https://www.cocuma.cz/s/dg-consultant/,Billigence,Praha,Full-time,,Superjoby,
cocuma.cz,32,Datový Analytik - Brno,https://www.cocuma.cz/job/datovy-analytik-brno/7110/,Addvery,Brno,Full-time,,,
cocuma.cz,33,Full Stack BI Developer,https://www.cocuma.cz/job/full-stack-bi-developer/6911/,NN IT HUB Prague,Prague,Full-time,,,
cocuma.cz,34,Ph.D. in Structured Graphical Models (ML for Public Health),https://www.cocuma.cz/job/phd-in-structured-graphical-models-ml-for-public-health/6328/,Centrum umělé inteligence FEL ČVUT,Praha,Full-time,,,
cocuma.cz,35,Ph.D. in Mathematical Optimization and Control (Fairness in AI),https://www.cocuma.cz/job/phd-in-mathematical-optimization-and-control-fairness-in-ai/6326/,Centrum umělé inteligence FEL ČVUT,Praha,Full-time,,,
cocuma.cz,36,TECHNIK DATOVÉHO CENTRA,https://www.cocuma.cz/job/technik-datoveho-centra/1944/,TTC TELEPORT,Praha,Full-time,,,
cocuma.cz,37,DATA ENGINEER senior/medior,https://www.cocuma.cz/job/data-engineer-seniormedior/3329/,Joyful Craftsmen,Praha,Full-time,,,
cocuma.cz,38,PhD z umělé inteligence,https://www.cocuma.cz/job/phd-z-umele-inteligence/2386/,Centrum umělé inteligence FEL ČVUT,Praha,Full-time,,,
welcometothejungle.com,1,Marketing Data Specialist - firemní klienti,https://www.welcometothejungle.com/cs/companies/ceska-sporitelna/jobs/marketing-data-specialist-firemni-klienti_praha,Česká spořitelna,Prague,full_time,2024-09-27T01:07:03Z,,
welcometothejungle.com,2,IT&Data Sub-Cluster Manager,https://www.welcometothejungle.com/cs/companies/ontex-digital-factory/jobs/it-data-sub-cluster-manager_turnov,Ontex IT & DATA,Turnov,full_time,2024-09-23T21:55:58Z,,
welcometothejungle.com,3,Data Architect,https://www.welcometothejungle.com/cs/companies/threatmark/jobs/senior-data-engineer_brno-stred,ThreatMark,Brno,full_time,2024-09-16T14:14:05Z,Boosted,
welcometothejungle.com,4,Data Specialist,https://www.welcometothejungle.com/cs/companies/msf/jobs/data-specialist_praha,MSF Shared IT Services,Prague,full_time,2024-09-16T11:10:14Z,,
welcometothejungle.com,5,Sales Executive for NNIT Life Sciences Data Services,https://www.welcometothejungle.com/cs/companies/nnit/jobs/sales-executive-for-nnit-life-sciences-data-services_dublin,NNIT Czech,Prague,full_time,2024-09-16T08:42:14Z,,
welcometothejungle.com,6,Data Catalog Administrator (f/m/d),https://www.welcometothejungle.com/cs/companies/dbg/jobs/data-catalog-administrator-f-m-d_prague_DBGP_lLMaYl1,Deutsche Börse Group Prague,Prague,full_time,2024-09-13T22:47:53Z,,
welcometothejungle.com,7,Data Engineer- Remote CZ,https://www.welcometothejungle.com/cs/companies/quadient/jobs/data-engineer-remote-cz_hradec-kralove,Quadient,Hradec Kralove,full_time,2024-09-11T00:42:55Z,,
welcometothejungle.com,8,BI Data Analyst,https://www.welcometothejungle.com/cs/companies/notino/jobs/bi-data-analyst_brno_NOTIN_OQRYmdY,Notino,Brno,full_time,2024-09-05T22:45:47Z,,
welcometothejungle.com,9,Data Engineer,https://www.welcometothejungle.com/cs/companies/publicis-groupe-cz/jobs/data-engineer_praha-hl-m,Publicis Groupe CZ,Prague,full_time,2024-09-05T22:35:14Z,,
welcometothejungle.com,10,Data Analyst,https://www.welcometothejungle.com/cs/companies/publicis-groupe-cz/jobs/data-analyst_praha-hl-m,Publicis Groupe CZ,Prague,full_time,2024-09-05T22:35:14Z,,
